id,groupName,prototype,category,company,width,height,sizeNweight,powerpoints,pedestal,otherRequest,posX,posY
p01,Proj 01 - Attila_Cyber Security,1:1 prototype,null,null,2,2,null,0,null,null,0,0
p07,Proj 07 - BCA_Creative and Interactive Communication Platform,1:1 prototype,null,null,2.5,2.5,null,1,null,null,0,0
p10,Proj 10 - BCA_Reengineering with Robotics,1:1 prototype,null,null,3,3,null,2,null,null,0,0
p11,Proj 11 - Bordeaux_Water Condensation,1:1 prototype,null,null,3,3,null,3,null,null,0,0
p12,Proj 12 - Centurion_Traffic Flow and Storage of Bicycles,1:1 prototype,null,null,2,2,null,4,null,null,0,0
p13,Proj 13 - Centurion_Smart Mini-Mart,1:1 prototype,null,null,2,2,null,5,null,null,0,0
p14,Proj 14 - Citibank_Commercial Banking Relationships,software,null,null,2,3,null,6,null,null,0,0
p15,Proj 15 - CPG_Urban Metabolic Hub,1:1 prototype,null,null,4,2,null,7,null,null,0,0
p16,Proj 16 - Dassault_Virtual Twin,1:1 prototype,null,null,2,2,null,8,null,null,0,0
p17,Proj 17 - DP Architects_Assisted Bathing Solution,1:1 prototype,null,null,6,8,null,9,null,null,0,0
p20,Proj 20 - Esplanade_Empowered Patron,1:1 prototype,null,null,1.5,1.5,null,10,null,null,0,0
p21,Proj 21 - Flex_Smart Safety Access Auditor,1:1 prototype,null,null,3,3,null,11,null,null,0,0
p22,Proj 22 - Force 21_Birloki System,1:1 prototype,null,null,4,2,null,12,null,null,0,0
p24,Proj 24 - Heinz_People Analytics,software,null,null,2,1,null,13,null,null,0,0
p25,Proj 25 - HopeTechnik_Embedded Robotic Officer,1:1 prototype,null,null,3,5,null,14,null,null,0,0
p26,Proj 26 - HopeTechnik_Robotic Detector,1:1 prototype,null,null,2.5,2.5,null,15,null,null,0,0
p33,Proj 33 - LTA_Cyclist User Alert,1:1 prototype,null,null,3,3,null,16,null,null,0,0
p34,Proj 34 - LTA_Drain Covers,1:1 prototype,null,null,2,2,null,17,null,null,0,0
p35,Proj 35 - Metta School_Interpersonal Space Awareness,software,null,null,5,3,null,18,null,null,0,0
p38,Proj 38 - MKPL_Innovative Furniture,1:1 prototype,null,null,4,4,null,19,null,null,0,0
p39,Proj 39 - MSD_Personalized Drug Design,1:1 prototype,null,null,2,2,null,20,null,null,0,0
p40,Proj 40 - MXHL_Machine Learning Algorithms,software,null,null,1,1,null,21,null,null,0,0
p41,Proj 41 - NUS_Pediatric Surgery Neural Network,software,null,null,2,2,null,22,null,null,0,0
p43,Proj 43 - PA_POP-UPHood,1:1 prototype,null,null,2,2,null,23,null,null,0,0
p46,Proj 46 - RollsRoyce_Energy Harvesting Wireless Sensor,1:1 prototype,null,null,2,1,null,24,null,null,0,0
p47,Proj 47 - RollsRoyce_Spare Parts Onboard Ships,1:1 prototype,null,null,3.5,3.5,null,25,null,null,0,0
p49,Proj 49 - Sembcorp_Small Weight Delivery,1:1 prototype,null,null,3,2,null,26,null,null,0,0
p50,Proj 50 - SIA_All-Weather Working Shelter,1:1 prototype,null,null,2.5,2,null,27,null,null,0,0
p51,Proj 51 - SIA_Premium Passenger Experience,1:1 prototype,null,null,2.5,1,null,28,null,null,0,0
p53,Proj 53 - S-Lineage_Breathing Tower,1:1 prototype,null,null,3,3,null,29,null,null,0,0
p54,Proj 54 - Sree Narayana_Improving Living Environment,1:1 prototype,null,null,4,4,null,30,null,null,0,0
p55,Proj 55 - Sree Narayana_Redesign Residential Facility,1:1 prototype,null,null,2,2,null,31,null,null,0,0
p61,Proj 61 - Steelcase_Reduction of Logistics and Packaging Costs,software,null,null,3,2,null,32,null,null,0,0
p62,Proj 62 - TataComm_App Performance Management,software,null,null,2,2,null,33,null,null,0,0
p63,Proj 63 - TataComm_SmartChat,software,null,null,1,0.5,null,34,null,null,0,0
p65,Proj 65 - TVConal_Cricket Broadcast,software,null,null,0.5,0.5,null,35,null,null,0,0
p68,Proj 68 - Weijenberg_Smart Generative Furniture Design,1:1 prototype,null,null,5,6,null,36,null,null,0,0
p69,Proj 69 - CGH_Drip Detection Device,1:1 prototype,null,null,0.5,0.5,null,37,null,null,0,0
p70,Proj 70 - CGH_Patient Transfer Device,1:1 prototype,null,null,4,4,null,38,null,null,0,0
p71,Proj 71 - ASTAR_Pediatric Robotic Pet,1:1 prototype,null,null,2,2,null,39,null,null,0,0
p72,Proj 72 - ASTAR_Human Behaviour,software,null,null,2,1.5,null,40,null,null,0,0
e01,Proj E01 - BlackBox,software,null,null,3,3,null,41,null,null,0,0
e02,Proj E02 - Do-Do,1:1 prototype,null,null,2,2,null,42,null,null,0,0
e03,Proj E03 - FlexiHome,1:1 prototype,null,null,3.5,3.5,null,43,null,null,0,0
f29,Proj F29 - inlingua_Management System,software,null,null,0.5,0.5,null,44,null,null,0,0
f37,Proj F37 - MITRE_Air Traffic Control,1:1 prototype,null,null,4,3,null,45,null,null,0,0
s01,Proj S01 - 2359 Media_Percy,software,null,null,2,2,null,46,null,null,0,0
s02,Proj S02 - DSO_Synthetic Aperture Radar,1:1 prototype,null,null,10,3,null,47,null,null,0,0
s03,Proj S03 - GIC_Skynet,software,null,null,0.5,0.5,null,48,null,null,0,0
s04,Proj S04 - NHB_Printing Light,1:1 prototype,null,null,11.5,7,null,49,null,null,0,0
s05,Proj S05 - Performance Rotors_AEOLUS,1:1 prototype,null,null,3,3,null,50,null,null,0,0
s06,Proj S06 - RGA_Mixed Reality Redefines Education,1:1 prototype,null,null,2,3,null,51,null,null,0,0
s07,Proj S07 - Shado EV_BLDC Design,1:1 prototype,null,null,5,5,null,52,null,null,0,0
s08,Proj S08 - SMRT_ABTUS,1:1 prototype,null,null,3,3,null,53,null,null,0,0
s09,Proj S09 - Weijenberg_Reinforced Wood Tower,1:1 prototype,null,null,2,2,null,54,null,null,0,0
